Date,ConversionFactor,CTD CUSIP,Futures Ticker,Futures Price,CTD Bond ID,Futures ID,CTD Effective,CTD Interest Accrual Date,CTD Maturity,CTD Coupon Frequency,CTD Day Count,CTD Coupon,Futures Expiry Month/Year,CTD Price
12-Sep-2013,0.7812,EI767213,CNU13,128.55,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.505
13-Sep-2013,0.7812,EI767213,CNU13,128.67,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.656
16-Sep-2013,0.7812,EI767213,CNU13,128.53,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.548
17-Sep-2013,0.7812,EI767213,CNU13,128.7,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,100.599
18-Sep-2013,0.7812,EI767213,CNU13,129.65,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.267
19-Sep-2013,0.7812,EI767213,CNU13,129.41,EI767213 Govt,CNU13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Sep-2016,101.041
20-Sep-2013,0.7861,EI767213,CNZ13,128.13,EI767213 Govt,CNZ13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Dec-2016,101.221
23-Sep-2013,0.7861,EI767213,CNZ13,128.46,EI767213 Govt,CNZ13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Dec-2016,101.561
24-Sep-2013,0.7861,EI767213,CNZ13,129.17,EI767213 Govt,CNZ13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Dec-2016,101.947
25-Sep-2013,0.7861,EI767213,CNZ13,129.47,EI767213 Govt,CNZ13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Dec-2016,102.161
26-Sep-2013,0.7861,EI767213,CNZ13,129.15,EI767213 Govt,CNZ13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Dec-2016,102.026
27-Sep-2013,0.7861,EI767213,CNZ13,129.53,EI767213 Govt,CNZ13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Dec-2016,102.288
30-Sep-2013,0.7861,EI767213,CNZ13,129.64,EI767213 Govt,CNZ13 Comdty,2-Aug-2011,2-Aug-2011,1-Jun-2022,2,ACT/ACT,2.75,13-Dec-2016,102.396
